word,frequency
"1,2%",38
302,41
043,9
3266,2
704,42
812,12
087,14
080,21
928,70
3482,1
3479,3
2557,1
3367,3
2627,1
2850,6
"6,01%",1
2106,4
1339,24
13031,1
14297,1
47812,1
"45,5%",10
"17,8%",12
364,43
2228,5
978,24
33%,125
574,12
"45,59%",1
723,18
775,14
810,32
854,12
1161,9
1203,23
992,20
"29,98%",1
"31,61%",2
11471,1
938,12
3976,1
3426,3
2334,5
21207,1
78%,64
31587,1
16895,1
14692,1
6379,3
6343,1
4744,1
243,53
5816,1
91%,41
36%,87
"66,4%",1
"30,6%",8
159,67
4882,6
305,107
286,73
295,44
\,39
1183,35
6500,37
150%,10
858,30
037,2
067,1
879,31
188,67
756,27
477,27
1656,90
3859,1
83%,47
"8,9%",11
69%,55
77%,49
"1,6%",43
11730,1
-x,1
2810,1
2693,2
2954,3
2425,2
2617,1
1335,24
2815,4
2896,4
671,17
"60,9%",5
"5,34%",1
"11,3%",23
"87,8%",5
"7,22%",1
"0,93%",2
"47,5%",6
"30,5%",6
"17,7%",11
"51,2%",11
"29,9%",12
"17,5%",12
"1,5%",63
2503,1
866,10
344,21
"79,122",1
467,23
736,11
064,2
"13º48'04""LN",1
09,24
05,18
759,15
2730,1
164,85
847,12
1178,22
1729,84
7525,1
"97,53%",1
346,20
385,49
582,23
610,63
821,17
956,17
6800,138
3590,1
2407,1
760,40
6873,1
6146,2
"13,4%",8
"95,3%",4
"3,9%",20
"0,7%",36
565,37
004,18
925,24
297,53
568,37
"56,41%",1
"22,77%",1
"8,65%",3
"4,34%",1
"1,26%",3
"27,1%",6
"3,4%",33
"73,28%",1
"39,83%",1
"78,4%",3
"54,9%",3
985,29
3040,1
2025,139
2028,30
14618,1
17192,1
41100,2
3072,3
652,17
241,52
770,45
790,27
966,25
"65,8%",6
"37,5%",6
341,42
2874,3
5800,13
8700,1
931,26
16900,1
16886815303,1
181333180,1
23600,1
865,27
5300,19
--,261
//,163
1378,43
1392,27
1395,24
1398,29
1413,30
1411,20
1359,23
1373,20
1386,43
8758,1
7574,2
8600,7
963,16
1179,30
1436,29
1446,20
478,34
"47,3%",5
"52,7%",4
"17,30%",1
"68,80%",1
"13,90%",2
"83,70%",1
"14,30%",1
877,18
047,1
703,19
977,15
"63,98%",2
56%,58
"65,1%",1
455,47
6801,6
2704,5
22500,4
24649,1
2809,2
9216,2
784,14
1010,21
1428,19
"19,1%",8
"20,9%",6
"11,6%",11
"9,1%",22
3414,3
647,17
2591,3
1156,22
1155,41
2150,8
1154,44
3766,1
2250,10
224,68
1326,35
1308,30
1338,21
1344,16
1352,36
1245,25
2552,2
2626,2
2561,2
1418,39
2550,4
062,3
639,56
396,27
"20,1%",7
"4,21%",2
"75,69%",1
58%,70
"55,9%",4
"7,2%",20
892,18
912,52
924,103
929,18
421,32
263,36
1048,14
259,31
521,25
499,38
513,19
506,24
479,33
490,55
539,36
2.2.x,1
2.4.x,1
81%,39
964,25
"49,4%",5
03758,1
734,19
485,34
470,60
4845,1
915,17
802.11,83
864,20
817,14
684,12
413,22
·,102
"2,7%",23
"5,26%",2
2.6.x,2
†††,1
098,1
1113,15
7097,1
2637,4
):,63
47%,60
802.11a,17
8956,1
12666,1
602,27
609,34
2798,2
07,22
681,35
9788476727478,1
933,15
32768,1
042,11
2397,1
13896,1
5651,1
229,42
29337,2
4865,1
4161,5
"49,56%",3
20654,2
"61,85%",6
4894,1
2915,3
369,21
19991,1
5187,1
620,50
7439,1
7010,5
3752,2
9081,1
3078,3
1001,75
753,24
292,27
1093,20
588,26
"32,2%",7
"25,5%",7
"25,4%",3
"24,4%",7
"23,0%",2
"19,3%",9
"16,2%",9
"12,8%",11
"10,4%",11
"-9,9%",2
"77,4%",5
"53,3%",9
"35,9%",4
"13,6%",11
"7,4%",23
"-2,4%",1
"10,3%",12
"-4,1%",1
"18,9%",6
"13,8%",6
"9,6%",19
"8,8%",13
"5,2%",22
2065,11
430,110
"45,6%",4
803,21
"68,8%",4
"35,2%",8
"46,4%",3
"18,5%",13
651,25
"12,9%",6
794,42
508,45
787,84
232,51
986,14
3185,1
469,21
5420,1
9500,14
294,17
"46,7%",4
6584,1
086,3
025,19
559,15
"18,6%",13
"2,27%",1
251,59
2842,1
2644,4
401,71
2890,2
20264,1
6748,1
4071,1
1324,36
1297,44
2928,2
437,45
771,23
414,40
5920,1
4360,1
5400,10
6502,143
6501,23
8080,103
6503,2
6507,15
6504,5
6512,3
6515,2
6510,19
6522,10
65832,1
558,15
65xx,1
564,11
408,50
-Sinaloa-.de,1
"1,25%",4
3540,2
050,31
428,25
3186,2
706,12
2900,22
625000,1
2170,2
7300,2
959%,1
"14,32%",1
"3,25%",2
"2,32%",1
"1,09%",5
"0,89%",4
"0,81%",1
427,37
"16,6%",15
2034,11
1206,45
1248,36
1434,15
1458,27
2570,4
3159,5
2972,2
48000,2
50253,1
100000,4
2535,4
"46,6%",6
"45,8%",6
"34,9%",4
"16,3%",8
13280724,1
598,28
65816,4
²,5
8237,3
80286,73
80386,74
！,2
6608,1
72320,1
2184,5
5470,2
502,34
1476,45
2083,6
436,26
