word,probability
1023,1.3916044503510323e-06
1085,2.403680414242692e-06
1095,4.174813351053096e-06
1823,3.2892468826478944e-05
093,5.0603798194583e-07
58,6.831512756268704e-05
577,2.02415192778332e-06
516,2.5301899097291493e-06
2022,2.1886142719157144e-05
08,3.0362278916749793e-06
1636,8.602645693079108e-06
1643,1.2777459044132204e-05
161,1.2271421062186376e-05
1265,5.313398810431214e-06
1282,4.174813351053096e-06
1267,5.060379819458299e-06
1270,5.313398810431214e-06
1272,4.04830385556664e-06
1281,4.4278323420260115e-06
1258,6.198965278836416e-06
1269,1.5181139458374896e-06
1271,4.933870323971842e-06
1275,6.451984269809331e-06
1277,4.301322846539554e-06
1285,5.186889314944756e-06
1287,3.2892468826478945e-06
1289,2.403680414242692e-06
""")",4.124209552858514e-05
201009,1.265094954864575e-07
7%,2.7832089007020643e-05
3%,3.9723981582747645e-05
"12,2%",1.2650949548645747e-06
987,1.6446234413239472e-06
96,4.832662727582676e-05
20132,1.265094954864575e-07
210,1.7331800881644674e-05
390,9.361702665997853e-06
157,9.235193170511395e-06
262,1.948246230491445e-05
113,1.948246230491445e-05
02,4.4278323420260115e-06
06,4.301322846539554e-06
1871,8.729155188565565e-05
1300,2.694652253861544e-05
1515,1.0120759638916597e-05
1639,1.10063261073218e-05
1705,9.108683675024938e-06
1777,2.6187465565696697e-05
1853,4.453134241123303e-05
117,1.7964348359076963e-05
81,4.351926644734137e-05
375,1.0120759638916597e-05
742,2.656699405215607e-06
1243,4.04830385556664e-06
1311,3.2892468826478945e-06
1276,5.313398810431214e-06
1279,4.680851332998927e-06
1286,2.403680414242692e-06
1295,4.554341837512469e-06
1298,3.7952848645937244e-06
1138,5.060379819458299e-06
1299,2.5301899097291493e-06
1302,5.060379819458299e-06
1304,2.909718396188522e-06
1431,5.692927296890587e-06
911,1.7331800881644674e-05
1419,3.4157563781343516e-06
1294,3.2892468826478945e-06
‰,1.3916044503510323e-06
150000,1.7711329368104046e-06
1457,4.301322846539554e-06
1482,5.313398810431214e-06
1477,4.680851332998927e-06
1804,3.415756378134352e-05
1809,3.403105428585706e-05
1833,4.40253044292872e-05
1843,4.857964626679967e-05
1850,6.95802225175516e-05
1840,5.9838991365094385e-05
1362,4.4278323420260115e-06
1363,2.5301899097291493e-06
1366,2.656699405215607e-06
1367,2.909718396188522e-06
1369,2.150661423269777e-06
1375,3.2892468826478945e-06
75%,3.858539612336953e-05
141,1.2144911566699917e-05
1755,1.60667059267801e-05
664,3.0362278916749793e-06
1836,5.1362855167501734e-05
57,6.0851067328986046e-05
9000,1.0373778629889512e-05
1835,4.845313677131321e-05
1847,5.1362855167501734e-05
4900,6.325474774322873e-07
3800,1.1385854593781173e-06
605,5.566417801404129e-06
562,2.2771709187562346e-06
409,4.301322846539554e-06
494,2.7832089007020645e-06
496,5.313398810431214e-06
1382,3.7952848645937244e-06
1416,2.403680414242692e-06
1807,3.3904544790370604e-05
1826,3.352501630391123e-05
270,2.2771709187562346e-05
972,3.7952848645937244e-06
634,3.162737387161437e-06
454,5.439908305917671e-06
3100,3.921794360080182e-06
2700,4.301322846539554e-06
2440,2.53018990972915e-07
2200,6.325474774322874e-06
1718,1.2650949548645747e-05
"7,79%",1.265094954864575e-07
12%,2.757907001604773e-05
186,1.1385854593781173e-05
37%,1.1132835602808258e-05
920,4.680851332998927e-06
487,3.668775369107267e-06
722,5.566417801404129e-06
476,8.602645693079108e-06
403,4.4278323420260115e-06
221,9.361702665997853e-06
206,9.108683675024938e-06
220,2.7326051025074813e-05
440,1.4422082485456152e-05
534,3.162737387161437e-06
589,3.921794360080182e-06
618,2.403680414242692e-06
907,3.5422658736208092e-06
923,1.1385854593781173e-06
936,4.807360828485384e-06
960,7.97009821564682e-06
1127,3.668775369107267e-06
1644,1.6952272395185302e-05
172,7.717079224673906e-06
2207,3.795284864593724e-07
937,1.7711329368104046e-06
979,2.403680414242692e-06
235,1.2397930557672832e-05
《,1.3916044503510323e-06
》,1.2650949548645747e-06
1703,1.0753307116348886e-05
452,2.909718396188522e-06
645,2.5301899097291493e-06
38,0.00010373778629889513
1284,1.8976424322968622e-06
473,2.7832089007020645e-06
353,4.680851332998927e-06
187,8.09660771113328e-06
3105,1.265094954864575e-07
2587,1.265094954864575e-07
1158,3.2892468826478945e-06
225,1.2144911566699917e-05
166,1.1259345098294715e-05
698,2.150661423269777e-06
926,1.01207596389166e-06
691,1.5181139458374896e-06
720,9.867740647943684e-06
16%,1.8723405331995707e-05
"0,76%",3.795284864593724e-07
"17,51%",1.265094954864575e-07
156,1.201840207121346e-05
119,1.1891892575727002e-05
348,4.554341837512469e-06
296,5.439908305917671e-06
147,1.0626797620862428e-05
9345,1.265094954864575e-07
394,3.162737387161437e-06
6740,1.265094954864575e-07
"4,1%",3.668775369107267e-06
738,1.8976424322968622e-06
1273,4.174813351053096e-06
1368,4.04830385556664e-06
1380,6.578493765295789e-06
1760,1.4675101476429067e-05
38%,1.3789535008023865e-05
1629,1.0626797620862428e-05
1652,1.0753307116348886e-05
1653,1.10063261073218e-05
1723,7.337550738214534e-06
1660,2.6693503547642528e-05
231,4.680851332998927e-06
1264,5.439908305917671e-06
3280,6.325474774322873e-07
1510,1.0879816611835343e-05
330,1.9735481295887368e-05
267,3.5422658736208092e-06
268,3.7952848645937244e-06
372,3.4157563781343516e-06
